id,api_id,name,address_line1,address_line2,city,county,postcode,nation,country,full_address,latitude,longitude,website,store_url
30465,/api/store_locators/30465,Flooring Worx,Unit B6 Meynell Road,,Darlington,England,DL3 0XA,England,United Kingdom,"Unit B6 Meynell Road, Darlington, England, DL3 0XA, United Kingdom",54.539650,-1.554540,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/darlington/30465-flooring-worx?locale=en_GB
29866,/api/store_locators/29866,Floorscope,Eastfield House,Corbridge,Corbridge,England,NE45 5LD,England,United Kingdom,"Eastfield House, Corbridge, Corbridge, England, NE45 5LD, United Kingdom",54.973512,-2.015841,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/corbridge/29866-floorscope?locale=en_GB
30084,/api/store_locators/30084,Floortek Supplies,UNIT 3 GRANGE FARM INDUSTRIAL ESTATE,LITTLE CHESTERTON,Bicester,England,OX25 3PD,England,United Kingdom,"UNIT 3 GRANGE FARM INDUSTRIAL ESTATE, LITTLE CHESTERTON, Bicester, England, OX25 3PD, United Kingdom",51.878979,-1.189280,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/bicester/30084-floortek-supplies?locale=en_GB
29692,/api/store_locators/29692,Fresh Flooring,43 Foregate St,,Stafford,Staffordshire,ST16 2PJ,England,United Kingdom,"43 Foregate St, Stafford, Staffordshire, ST16 2PJ, United Kingdom",52.8126936,-2.1215329,www.freshflooring.co.uk,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/staffordshire/stafford/29692-fresh-flooring?locale=en_GB
29704,/api/store_locators/29704,Gloucester Carpet Outlet,Unit 4 Mill Place,90 Bristol Rd,Gloucester,Gloucestershire,GL1 5SQ,England,United Kingdom,"Unit 4 Mill Place, 90 Bristol Rd, Gloucester, Gloucestershire, GL1 5SQ, United Kingdom",51.847221,-2.261140,HTTP://gloucestercarpetoutlet.co.uk,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/gloucestershire/gloucester/29704-gloucester-carpet-outlet?locale=en_GB
29897,/api/store_locators/29897,Guest Carpets,774-776 BRISTOL ROAD,Selly Oak,City and Borough of Birmingham,England,B29 6NA,England,United Kingdom,"774-776 BRISTOL ROAD, Selly Oak, City and Borough of Birmingham, England, B29 6NA, United Kingdom",52.440979,-1.938860,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/city-and-borough-of-birmingham/29897-guest-carpets?locale=en_GB
29480,/api/store_locators/29480,Harper & Pye Ltd,109-111 Red Bank Rd,,Blackpool,England,FY2 9HZ,England,United Kingdom,"109-111 Red Bank Rd, Blackpool, England, FY2 9HZ, United Kingdom",53.8503484,-3.0487089,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/blackpool/29480-harper-pye-ltd?locale=en_GB
29658,/api/store_locators/29658,Home Carpets by Neil Mcbrearty,Keigh House,Croft Terrace,Carlisle,England,CA1 25N,England,United Kingdom,"Keigh House, Croft Terrace, Carlisle, England, CA1 25N, United Kingdom",54.891755,-2.9026547,www.carpetscarlisle.co.uk,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/carlisle/29658-home-carpets-by-neil-mcbrearty?locale=en_GB
29429,/api/store_locators/29429,Hopkins Flooring,Unit 3 Station Road Industrial Estate,,Attleborough,England,NR17 2SP,England,United Kingdom,"Unit 3 Station Road Industrial Estate, Attleborough, England, NR17 2SP, United Kingdom",52.5122683,1.0242888,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/attleborough/29429-hopkins-flooring?locale=en_GB
29678,/api/store_locators/29678,Hudspeth Floooring,Unit 7 Badger Ct,Harmby Rd,Leyburn,England,DL8 5BF,England,United Kingdom,"Unit 7 Badger Ct, Harmby Rd, Leyburn, England, DL8 5BF, United Kingdom",54.3073824,-1.8188618,,https://home.tarkett.co.uk/en_GB/store-locator/united-kingdom/england/leyburn/29678-hudspeth-floooring?locale=en_GB
